Date,Price,Open,High,Low
8/3/2017,2734.30,2702.00,2750.00,2698.00
8/2/2017,2702.00,2733.80,2757.80,2640.00
8/1/2017,2731.20,2854.30,2901.60,2615.80
7/31/2017,2856.00,2748.90,2883.50,2694.80
7/30/2017,2749.00,2713.70,2756.20,2595.00
7/29/2017,2714.10,2784.80,2794.20,2662.60
7/28/2017,2784.80,2664.60,2819.90,2655.50
7/27/2017,2664.90,2527.70,2682.20,2511.00
7/26/2017,2525.70,2560.90,2612.00,2404.60
7/25/2017,2560.90,2769.70,2790.10,2435.70
7/24/2017,2769.70,2750.10,2812.00,2707.30
7/23/2017,2747.50,2845.70,2875.70,2656.20
7/22/2017,2845.70,2659.00,2912.90,2642.80
7/21/2017,2664.00,2874.50,2874.50,2615.00
7/20/2017,2856.30,2253.30,2919.90,2253.30
7/19/2017,2253.10,2302.20,2399.90,2214.20
7/18/2017,2302.10,2220.00,2380.20,2139.80
7/17/2017,2219.00,1925.00,2223.30,1924.10
7/16/2017,1924.90,1979.70,2048.80,1835.80
7/15/2017,1978.60,2206.50,2210.10,1975.70
7/14/2017,2205.10,2329.40,2345.60,2138.00
7/13/2017,2329.00,2375.60,2400.00,2293.80
7/12/2017,2374.40,2285.60,2394.00,2195.80
7/11/2017,2282.10,2318.30,2372.80,2183.30
7/10/2017,2318.30,2477.90,2498.10,2240.00
7/9/2017,2478.00,2542.00,2555.60,2473.70
7/8/2017,2542.00,2479.30,2542.60,2436.80
7/7/2017,2479.30,2593.20,2598.00,2447.00
7/6/2017,2593.10,2598.60,2603.30,2546.00
7/5/2017,2598.50,2579.90,2617.60,2482.50
7/4/2017,2582.60,2525.90,2628.00,2512.40
7/3/2017,2524.00,2445.10,2584.00,2416.20
7/2/2017,2445.00,2346.20,2470.00,2302.00
7/1/2017,2349.50,2420.60,2440.90,2291.00
6/30/2017,2420.70,2472.40,2511.10,2406.60
6/29/2017,2470.10,2518.20,2537.00,2424.10
6/28/2017,2518.20,2521.30,2561.10,2403.20
6/27/2017,2521.20,2393.50,2524.00,2208.10
6/26/2017,2394.60,2480.00,2510.40,2258.70
6/25/2017,2477.70,2502.60,2595.00,2369.10
6/24/2017,2502.60,2674.90,2700.00,2454.10
6/23/2017,2674.90,2672.80,2725.30,2652.80
6/22/2017,2672.80,2624.40,2709.00,2554.80
6/21/2017,2621.20,2715.30,2760.00,2573.30
6/20/2017,2712.20,2585.00,2779.60,2568.20
6/19/2017,2580.80,2494.90,2592.70,2481.40
6/18/2017,2491.50,2610.10,2635.00,2421.00
6/17/2017,2610.00,2435.50,2636.90,2368.70
6/16/2017,2437.00,2377.50,2480.00,2261.20
6/15/2017,2377.40,2394.30,2455.00,2050.00
6/14/2017,2395.00,2677.10,2720.00,2284.40
6/13/2017,2676.40,2570.00,2730.00,2532.60
6/12/2017,2571.80,2941.80,2961.90,2298.20
6/11/2017,2936.30,2806.00,3000.00,2793.80
6/10/2017,2806.00,2809.90,2890.50,2750.80
6/9/2017,2809.00,2781.50,2849.80,2769.60
6/8/2017,2782.10,2642.00,2789.30,2570.10
6/7/2017,2642.60,2844.60,2850.00,2600.20
6/6/2017,2843.60,2636.90,2896.50,2620.00
6/5/2017,2636.20,2488.20,2637.50,2480.00
6/4/2017,2488.20,2461.60,2498.00,2376.40
6/3/2017,2461.00,2405.90,2481.00,2348.00
6/2/2017,2405.90,2312.00,2407.80,2271.90
6/1/2017,2311.60,2191.80,2366.70,2187.40
